Category_Name,full_price_margin_pct,discounted_margin_pct,margin_loss_from_discount,full_price_transactions,discounted_transactions,full_price_revenue,discounted_revenue
Flower/Leaf Vegetables,40.84,16.8,24.04,315108,16681,144574.24,6602.54
Edible Mushroom,37.36,14.75,22.61,136647,11694,81153.26,5662.24
Cabbage,35.59,15.59,20.0,81879,4645,50260.48,2376.81
Capsicum,36.97,18.85,18.12,200501,7393,102056.21,3582.89
Aquatic Tuberous Vegetables,31.95,14.33,17.62,52822,5791,45252.83,3790.01
Solanum,36.63,19.21,17.42,43723,1158,26227.89,543.88
