ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-07-11,531.6511911626898,377.74484602728455,846.2429688124314,531.6511911626898,531.6511911626898,86.85907792773695,86.85907792773695,86.85907792773695,119.44434641503513,119.44434641503513,119.44434641503513,-32.585268487298194,-32.585268487298194,-32.585268487298194,0.0,0.0,0.0,618.5102690904267
2020-07-12,531.4763219961652,360.7479637596161,855.3919389586569,531.4763219961652,531.4763219961652,73.81868970175265,73.81868970175265,73.81868970175265,99.89851886005825,99.89851886005825,99.89851886005825,-26.079829158305603,-26.079829158305603,-26.079829158305603,0.0,0.0,0.0,605.2950116979179
2020-07-13,531.3014528296407,234.38544858667674,708.0607486622488,531.3014528296407,531.3014528296407,-68.96628479777056,-68.96628479777056,-68.96628479777056,-49.44006637470255,-49.44006637470255,-49.44006637470255,-19.526218423068013,-19.526218423068013,-19.526218423068013,0.0,0.0,0.0,462.3351680318701
2020-07-14,531.1265836631162,215.09166476568458,687.7092370053055,531.1265836631162,531.1265836631162,-72.71516299540946,-72.71516299540946,-72.71516299540946,-59.7485355388549,-59.7485355388549,-59.7485355388549,-12.96662745655455,-12.96662745655455,-12.96662745655455,0.0,0.0,0.0,458.41142066770675
2020-07-15,530.9517144965915,246.8478332308584,717.9570489849308,530.9517144965915,530.9517144965915,-49.62924324972755,-49.62924324972755,-49.62924324972755,-43.18502773654757,-43.18502773654757,-43.18502773654757,-6.444215513179992,-6.444215513179992,-6.444215513179992,0.0,0.0,0.0,481.322471246864
2020-07-16,530.7768453300671,206.6742088456676,714.5263927500571,530.7768453300671,530.7768453300671,-60.70139572598253,-60.70139572598253,-60.70139572598253,-60.69925304240466,-60.69925304240466,-60.69925304240466,-0.002142683577861767,-0.002142683577861767,-0.002142683577861767,0.0,0.0,0.0,470.07544960408455
2020-07-17,530.6019761635425,285.69103921974425,773.6566186346926,530.6019761635425,530.6019761635425,0.04744537079805118,0.04744537079805118,0.04744537079805118,-6.269982582487786,-6.269982582487786,-6.269982582487786,6.3174279532858355,6.3174279532858355,6.3174279532858355,0.0,0.0,0.0,530.6494215343406
2020-07-18,530.4271069970181,405.7612214448399,918.7820845523673,530.4271069970181,530.4271069970181,131.91867604843537,131.91867604843537,131.91867604843537,119.44434641471759,119.44434641471759,119.44434641471759,12.474329633717796,12.474329633717796,12.474329633717796,0.0,0.0,0.0,662.3457830454535
2020-07-19,530.2522378304935,395.11122646007794,882.8372170697046,530.2522378304935,530.2522378304935,118.32988140250721,118.32988140250721,118.32988140250721,99.89851885994327,99.89851885994327,99.89851885994327,18.43136254256394,18.43136254256394,18.43136254256394,0.0,0.0,0.0,648.5821192330008
2020-07-20,530.077368663969,257.23054762839365,736.9807656803088,530.077368663969,530.077368663969,-25.284860784089442,-25.284860784089442,-25.284860784089442,-49.44006637476881,-49.44006637476881,-49.44006637476881,24.15520559067936,24.15520559067936,24.15520559067936,0.0,0.0,0.0,504.7925078798795
2020-07-21,529.9024994974444,258.19386675761933,746.0978594969058,529.9024994974444,529.9024994974444,-30.13129550793857,-30.13129550793857,-30.13129550793857,-59.748535538830815,-59.748535538830815,-59.748535538830815,29.61724003089225,29.61724003089225,29.61724003089225,0.0,0.0,0.0,499.77120398950586
2020-07-22,529.7276303309199,294.0861472611924,762.889993413275,529.7276303309199,529.7276303309199,-8.39077030588576,-8.39077030588576,-8.39077030588576,-43.18502773655476,-43.18502773655476,-43.18502773655476,34.794257430669006,34.794257430669006,34.794257430669006,0.0,0.0,0.0,521.3368600250341
2020-07-23,529.5527611643954,265.25644019031415,747.3206222632543,529.5527611643954,529.5527611643954,-21.03022579120677,-21.03022579120677,-21.03022579120677,-60.69925304237932,-60.69925304237932,-60.69925304237932,39.669027251172544,39.669027251172544,39.669027251172544,0.0,0.0,0.0,508.52253537318865
2020-07-24,529.3778919978708,323.54951895992485,797.6981724465766,529.3778919978708,529.3778919978708,37.96072028361679,37.96072028361679,37.96072028361679,-6.269982582383029,-6.269982582383029,-6.269982582383029,44.23070286599981,44.23070286599981,44.23070286599981,0.0,0.0,0.0,567.3386122814876
2020-07-25,529.2030228313463,437.8035666874625,931.3186709374638,529.2030228313463,529.2030228313463,167.91939561215247,167.91939561215247,167.91939561215247,119.44434641480998,119.44434641480998,119.44434641480998,48.47504919734248,48.47504919734248,48.47504919734248,0.0,0.0,0.0,697.1224184434988
2020-07-26,529.0281536648217,443.3872027980792,914.7855186797683,529.0281536648217,529.0281536648217,152.30299900122324,152.30299900122324,152.30299900122324,99.89851885985819,99.89851885985819,99.89851885985819,52.40448014136507,52.40448014136507,52.40448014136507,0.0,0.0,0.0,681.331152666045
2020-07-27,528.8532844982972,295.1202535689181,757.5140376388414,528.8532844982972,528.8532844982972,6.587833083162541,6.587833083162541,6.587833083162541,-49.440066374855085,-49.440066374855085,-49.440066374855085,56.02789945801762,56.02789945801762,56.02789945801762,0.0,0.0,0.0,535.4411175814597
2020-07-28,528.6784153317727,309.4628175207046,762.4060155052457,528.6784153317727,528.6784153317727,-0.38819087831312843,-0.38819087831312843,-0.38819087831312843,-59.74853553896612,-59.74853553896612,-59.74853553896612,59.36034466065299,59.36034466065299,59.36034466065299,0.0,0.0,0.0,528.2902244534596
2020-07-29,528.5035461652482,295.9309542499651,797.6565008002873,528.5035461652482,528.5035461652482,19.237411746378537,19.237411746378537,19.237411746378537,-43.18502773652,-43.18502773652,-43.18502773652,62.422439482898525,62.422439482898525,62.422439482898525,0.0,0.0,0.0,547.7409579116267
2020-07-30,528.3286769987236,311.18981046537624,781.5003331307481,528.3286769987236,528.3286769987236,4.540413503478585,4.540413503478585,4.540413503478585,-60.699253042353966,-60.699253042353966,-60.699253042353966,65.23966654583255,65.23966654583255,65.23966654583255,0.0,0.0,0.0,532.8690905022022
2020-07-31,528.1538078321992,353.96329217310927,821.683917034343,528.1538078321992,528.1538078321992,61.57149512796907,61.57149512796907,61.57149512796907,-6.269982582327438,-6.269982582327438,-6.269982582327438,67.84147771029649,67.84147771029649,67.84147771029649,0.0,0.0,0.0,589.7253029601683
2020-08-01,527.9789386656745,467.203037297058,957.8020390421561,527.9789386656745,527.9789386656745,189.7046115069087,189.7046115069087,189.7046115069087,119.44434641485847,119.44434641485847,119.44434641485847,70.26026509205018,70.26026509205018,70.26026509205018,0.0,0.0,0.0,717.6835501725832
